StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:07:59.402648,0.050704,tcp,45.146.164.243,49378,   ->,159.65.26.180,6857,SR_RA,0,0,3,166,112,2
2021/04/30 02:08:03.788988,0.056500,tcp,91.223.67.180,40651,   ->,159.65.26.180,5261,SR_RA,0,0,3,166,112,2
2021/04/30 02:08:16.062874,0.051483,tcp,45.143.200.34,55710,   ->,159.65.26.180,10976,SR_RA,0,0,3,166,112,2
2021/04/30 02:08:27.549470,0.011242,tcp,92.63.197.86,57714,   ->,159.65.26.180,6316,SR_RA,0,0,3,166,112,2
2021/04/30 02:08:29.976987,0.623708,tcp,14.142.199.174,55665,   ->,159.65.26.180,445,S_RA,32,32,4,240,132,2
2021/04/30 02:08:36.870675,0.000034,udp,146.88.240.4,45214,   ->,159.65.26.180,3283,INT,0,,1,56,56,1
2021/04/30 02:09:11.650400,0.000032,tcp,220.141.171.102,41763,   ->,159.65.26.180,23,S_RA,0,0,2,110,56,1
2021/04/30 02:09:27.697262,0.000034,udp,92.118.160.53,59206,   ->,159.65.26.180,17185,INT,0,,1,106,106,1
2021/04/30 02:09:34.769227,0.036176,tcp,89.248.165.204,45880,   ->,159.65.26.180,6048,SR_RA,0,0,3,166,112,2
2021/04/30 02:09:47.752202,0.000027,tcp,74.120.14.88,42320,   ->,159.65.26.180,9984,S_RA,32,32,2,112,58,1
2021/04/30 02:09:48.367922,0.000025,tcp,46.161.27.212,15576,   ->,159.65.26.180,3389,S_RA,0,0,2,116,62,1
2021/04/30 02:10:00.766524,0.000025,tcp,185.173.35.5,61298,   ->,159.65.26.180,9080,S_RA,64,64,2,112,58,1
2021/04/30 02:10:22.684682,0.000026,tcp,185.173.35.17,59560,   ->,159.65.26.180,9595,S_RA,64,64,2,112,58,1
2021/04/30 02:10:31.196968,0.101073,tcp,82.102.173.93,49479,   ->,159.65.26.180,28017,SR_RA,96,96,3,166,112,2
